         5x4E-4                   (5x4E-4.dat)                                 09/10/18                                                                                   
                                                                                                                                                                          
                                                                                                                                                                          
         ====== PERFORMANCE DATA (versus advance ratio and MPH) ======                                                                                                    
                                                                                                                                                                          
         DEFINITIONS:                                                                                                                                                     
         J=V/nD (advance ratio)                                                                                                                                           
         Ct=T/(rho * n**2 * D**4) (thrust coef.)                                                                                                                          
         Cp=P/(rho * n**3 * D**5) (power coef.)                                                                                                                           
         Pe=Ct*J/Cp (efficiency)                                                                                                                                          
         V  (model speed in MPH)                                                                                                                                          
                                                                                                                                                                          
                                                                                                                                                                          
         PROP RPM =       1000                                                                                                                                            
                                                                                                                                                                          
         V          J           Pe         Ct          Cp          PWR         Torque      Thrust                                                                         
        44.3        0.45      0.5502      0.2034      0.1648       0.384       1.151       1.786                                                                          
        47.7        0.48      0.5783      0.1930      0.1602       0.373       1.119       1.695                                                                          
        51.1        0.51      0.6042      0.1823      0.1552       0.361       1.084       1.601                                                                          
        54.5        0.55      0.6278      0.1713      0.1496       0.348       1.045       1.504                                                                          
        57.9        0.58      0.6492      0.1599      0.1435       0.334       1.003       1.404                                                                          
        61.4        0.62      0.6681      0.1481      0.1368       0.319       0.956       1.301                                                                          
        64.8        0.65      0.6844      0.1361      0.1295       0.302       0.905       1.195                                                                          
        68.2        0.69      0.6979      0.1238      0.1216       0.283       0.850       1.087                                                                          
        71.6        0.72      0.7078      0.1111      0.1130       0.263       0.790       0.976                                                                          
        75.0        0.75      0.7127      0.0982      0.1039       0.242       0.726       0.862                                                                          
        78.4        0.79      0.7127      0.0852      0.0943       0.219       0.659       0.748                                                                          
        81.8        0.82      0.7020      0.0716      0.0839       0.195       0.586       0.629                                                                          
        85.2        0.86      0.6797      0.0581      0.0733       0.171       0.512       0.510                                                                          
        88.6        0.89      0.6301      0.0441      0.0624       0.145       0.436       0.387                                                                          
        92.0        0.93      0.5346      0.0296      0.0513       0.119       0.358       0.260                                                                          
        95.4        0.96      0.3571      0.0150      0.0402       0.094       0.281       0.131                                                                          
        98.8        0.99     -0.0014      0.0000      0.0294       0.068       0.205       0.000                                                                          
                                                                                                                                                                          
                                                                                                                                                                          
                                                                                                                                                                          
         PROP RPM =      22000                                                                                                                                            
                                                                                                                                                                          
         V          J           Pe         Ct          Cp          PWR         Torque      Thrust                                                                         
       (mph)     (Adv Ratio)                                       (Hp)        (In-Lbf)     (Lbf)                                                                         
         0.0        0.00      0.0000      0.2821      0.1753       0.469       1.344       2.718                                                                          
         3.6        0.03      0.0540      0.2810      0.1783       0.477       1.367       2.708                                                                          
         7.1        0.07      0.1060      0.2794      0.1808       0.484       1.387       2.692                                                                          
        10.7        0.10      0.1559      0.2771      0.1829       0.490       1.403       2.671                                                                          
        14.3        0.14      0.2039      0.2741      0.1845       0.494       1.415       2.641                                                                          
        17.9        0.17      0.2499      0.2702      0.1854       0.496       1.422       2.603                                                                          
        21.4        0.21      0.2941      0.2652      0.1855       0.497       1.423       2.555                                                                          
        25.0        0.24      0.3362      0.2590      0.1849       0.495       1.418       2.495                                                                          
        28.6        0.27      0.3766      0.2514      0.1832       0.490       1.405       2.423                                                                          
        32.2        0.31      0.4153      0.2426      0.1803       0.483       1.383       2.338                                                                          
        35.7        0.34      0.4523      0.2334      0.1770       0.474       1.358       2.249                                                                          
        39.3        0.38      0.4874      0.2240      0.1734       0.464       1.329       2.158                                                                          
        42.9        0.41      0.5207      0.2142      0.1693       0.453       1.299       2.064                                                                          
        46.4        0.45      0.5518      0.2041      0.1649       0.442       1.265       1.967                                                                          
        50.0        0.48      0.5803      0.1937      0.1603       0.429       1.229       1.867                                                                          
        53.6        0.51      0.6066      0.1829      0.1552       0.415       1.190       1.763                                                                          
        57.2        0.55      0.6307      0.1718      0.1495       0.400       1.146       1.656                                                                          
        60.7        0.58      0.6526      0.1604      0.1433       0.384       1.099       1.545                                                                          
        64.3        0.62      0.6720      0.1486      0.1365       0.365       1.047       1.432                                                                          
        67.9        0.65      0.6889      0.1366      0.1292       0.346       0.991       1.316                                                                          
        71.5        0.69      0.7029      0.1241      0.1211       0.324       0.929       1.196                                                                          
        75.0        0.72      0.7135      0.1116      0.1127       0.302       0.864       1.075                                                                          
        78.6        0.75      0.7190      0.0987      0.1036       0.277       0.795       0.951                                                                          
        82.2        0.79      0.7189      0.0855      0.0939       0.251       0.720       0.824                                                                          
        85.7        0.82      0.7092      0.0720      0.0836       0.224       0.641       0.694                                                                          
        89.3        0.86      0.6849      0.0583      0.0729       0.195       0.559       0.561                                                                          
        92.9        0.89      0.6347      0.0442      0.0621       0.166       0.476       0.426                                                                          
        96.5        0.93      0.5405      0.0298      0.0510       0.136       0.391       0.287                                                                          
       100.0        0.96      0.3615      0.0150      0.0399       0.107       0.306       0.145                                                                          
       103.6        0.99     -0.0007      0.0000      0.0291       0.078       0.223       0.000                                                                          
                                                                                                                                                                          
                                                                                                                                                                          
                                                                                                                                                                          
         PROP RPM =      23000                                                                                                                                            
                                                                                                                                                                          
         V          J           Pe         Ct          Cp          PWR         Torque      Thrust                                                                         
       (mph)     (Adv Ratio)                                       (Hp)        (In-Lbf)     (Lbf)                                                                         
         0.0        0.00      0.0000      0.2825      0.1749       0.535       1.466       2.976                                                                          
         3.7        0.03      0.0543      0.2815      0.1780       0.545       1.492       2.965                                                                          
         7.5        0.07      0.1063      0.2800      0.1807       0.553       1.515       2.950                                                                          
        11.2        0.10      0.1563      0.2779      0.1830       0.560       1.534       2.927                                                                          
        14.9        0.14      0.2043      0.2750      0.1848       0.565       1.549       2.897                                                                          
        18.7        0.17      0.2503      0.2711      0.1858       0.568       1.557       2.856                                                                          
        22.4        0.21      0.2945      0.2662      0.1861       0.569       1.560       2.803                                                                          
        26.2        0.24      0.3367      0.2600      0.1855       0.567       1.555       2.738                                                                          
        29.9        0.27      0.3771      0.2525      0.1837       0.562       1.540       2.659                                                                          
        33.6        0.31      0.4160      0.2436      0.1808       0.553       1.516       2.565                                                                          
        37.4        0.34      0.4531      0.2343      0.1775       0.543       1.487       2.468                                                                          
        41.1        0.38      0.4884      0.2249      0.1738       0.531       1.456       2.368                                                                          
        44.8        0.41      0.5219      0.2150      0.1697       0.519       1.422       2.265                                                                          
        48.6        0.45      0.5533      0.2049      0.1652       0.505       1.385       2.158                                                                          
        52.3        0.48      0.5820      0.1944      0.1605       0.491       1.345       2.048                                                                          
        56.0        0.51      0.6086      0.1836      0.1553       0.475       1.301       1.934                                                                          
        59.8        0.55      0.6332      0.1725      0.1495       0.457       1.253       1.817                                                                          
        63.5        0.58      0.6556      0.1610      0.1432       0.438       1.201       1.696                                                                          
        67.3        0.62      0.6756      0.1492      0.1364       0.417       1.143       1.572                                                                          
        71.0        0.65      0.6930      0.1371      0.1290       0.395       1.081       1.444                                                                          
        74.7        0.69      0.7076      0.1248      0.1210       0.370       1.014       1.314                                                                          
        78.5        0.72      0.7188      0.1121      0.1124       0.344       0.942       1.181                                                                          
        82.2        0.75      0.7245      0.0991      0.1033       0.316       0.866       1.044                                                                          
        85.9        0.79      0.7246      0.0859      0.0936       0.286       0.784       0.905                                                                          
        89.7        0.82      0.7153      0.0724      0.0833       0.255       0.698       0.762                                                                          
        93.4        0.86      0.6910      0.0586      0.0727       0.222       0.609       0.617                                                                          
        97.2        0.89      0.6407      0.0444      0.0618       0.189       0.518       0.467                                                                          
       100.9        0.93      0.5464      0.0299      0.0507       0.155       0.425       0.315                                                                          
       104.6        0.96      0.3664      0.0151      0.0396       0.121       0.332       0.159                                                                          
       108.4        1.00     -0.0011      0.0000      0.0287       0.088       0.241       0.000                                                                          
                                                                                                                                                                          
                                                                                                                                                                          
                                                                                                                                                                          
         PROP RPM =      24000                                                                                                                                            
                                                                                                                                                                          
         V          J           Pe         Ct          Cp          PWR         Torque      Thrust                                                                         
       (mph)     (Adv Ratio)                                       (Hp)        (In-Lbf)     (Lbf)                                                                         
         0.0        0.00      0.0000      0.2824      0.1782       0.619       1.626       3.238                                                                          
         3.9        0.03      0.0545      0.2821      0.1778       0.618       1.623       3.235                                                                          
         7.8        0.07      0.1067      0.2807      0.1807       0.628       1.649       3.219                                                                          
        11.7        0.10      0.1567      0.2787      0.1832       0.637       1.672       3.196                                                                          
        15.6        0.14      0.2047      0.2759      0.1851       0.643       1.690       3.164                                                                          
        19.5        0.17      0.2508      0.2721      0.1863       0.648       1.700       3.121                                                                          
        23.4        0.21      0.2949      0.2672      0.1867       0.649       1.704       3.064                                                                          
        27.3        0.24      0.3371      0.2610      0.1861       0.647       1.698       2.994                                                                          
        31.2        0.27      0.3777      0.2535      0.1844       0.641       1.682       2.907                                                                          
        35.1        0.31      0.4167      0.2446      0.1814       0.630       1.655       2.805                                                                          
        39.0        0.34      0.4539      0.2353      0.1780       0.619       1.624       2.698                                                                          
        42.9        0.38      0.4894      0.2257      0.1742       0.605       1.590       2.589                                                                          
        46.8        0.41      0.5231      0.2159      0.1700       0.591       1.552       2.475                                                                          
        50.7        0.45      0.5547      0.2057      0.1655       0.575       1.510       2.359                                                                          
        54.6        0.48      0.5837      0.1952      0.1607       0.559       1.467       2.238                                                                          
        58.5        0.52      0.6107      0.1843      0.1554       0.540       1.418       2.113                                                                          
        62.4        0.55      0.6357      0.1731      0.1496       0.520       1.365       1.985                                                                          
        66.3        0.58      0.6585      0.1615      0.1432       0.498       1.307       1.853                                                                          
        70.2        0.62      0.6791      0.1497      0.1363       0.474       1.244       1.717                                                                          
        74.1        0.65      0.6971      0.1376      0.1288       0.448       1.175       1.578                                                                          
        78.0        0.69      0.7122      0.1252      0.1207       0.420       1.102       1.436                                                                          
        81.9        0.72      0.7238      0.1125      0.1121       0.390       1.023       1.291                                                                          
        85.8        0.76      0.7301      0.0995      0.1029       0.358       0.939       1.141                                                                          
        89.7        0.79      0.7303      0.0862      0.0932       0.324       0.851       0.988                                                                          
        93.6        0.82      0.7212      0.0726      0.0830       0.288       0.757       0.833                                                                          
        97.5        0.86      0.6966      0.0587      0.0723       0.251       0.660       0.673                                                                          
       101.5        0.89      0.6461      0.0445      0.0615       0.214       0.561       0.510                                                                          
       105.4        0.93      0.5512      0.0300      0.0504       0.175       0.460       0.344                                                                          
       109.3        0.96      0.3699      0.0151      0.0393       0.137       0.359       0.173                                                                          
       113.2        1.00     -0.0050     -0.0001      0.0284       0.099       0.259      -0.002                                                                          
                                                                                                                                                                          
                                                                                                                                                                          
                                                                                                                                                                          
         PROP RPM =      25000                                                                                                                                            
                                                                                                                                                                          
         V          J           Pe         Ct          Cp          PWR         Torque      Thrust                                                                         
       (mph)     (Adv Ratio)                                       (Hp)        (In-Lbf)     (Lbf)                                                                         
         0.0        0.00      0.0000      0.2814      0.1873       0.736       1.855       3.501                                                                          
         4.1        0.03      0.0547      0.2826      0.1775       0.697       1.758       3.517                                                                          
         8.1        0.07      0.1070      0.2814      0.1807       0.710       1.789       3.501                                                                          
        12.2        0.10      0.1571      0.2795      0.1833       0.720       1.815       3.478                                                                          
        16.3        0.14      0.2050      0.2768      0.1855       0.729       1.837       3.445                                                                          
        20.3        0.17      0.2511      0.2732      0.1868       0.734       1.850       3.399                                                                          
        24.4        0.21      0.2952      0.2683      0.1873       0.736       1.855       3.339                                                                          
        28.5        0.24      0.3374      0.2622      0.1868       0.734       1.850       3.262                                                                          
        32.5        0.27      0.3781      0.2546      0.1850       0.727       1.832       3.168                                                                          
        36.6        0.31      0.4171      0.2456      0.1820       0.715       1.803       3.057                                                                          
        40.7        0.34      0.4545      0.2363      0.1786       0.701       1.768       2.941                                                                          
        44.7        0.38      0.4901      0.2267      0.1748       0.686       1.731       2.821                                                                          
        48.8        0.41      0.5239      0.2168      0.1705       0.670       1.689       2.698                                                                          
        52.9        0.45      0.5557      0.2065      0.1659       0.652       1.643       2.570                                                                          
        56.9        0.48      0.5850      0.1960      0.1611       0.633       1.595       2.439                                                                          
        61.0        0.52      0.6123      0.1851      0.1557       0.612       1.542       2.303                                                                          
        65.0        0.55      0.6377      0.1738      0.1498       0.588       1.483       2.163                                                                          
        69.1        0.58      0.6608      0.1622      0.1433       0.563       1.419       2.019                                                                          
        73.2        0.62      0.6817      0.1504      0.1364       0.536       1.350       1.871                                                                          
        77.2        0.65      0.7000      0.1382      0.1289       0.506       1.276       1.720                                                                          
        81.3        0.69      0.7155      0.1258      0.1208       0.474       1.196       1.566                                                                          
        85.4        0.72      0.7273      0.1131      0.1121       0.440       1.111       1.407                                                                          
        89.4        0.76      0.7337      0.1000      0.1030       0.405       1.020       1.245                                                                          
        93.5        0.79      0.7341      0.0867      0.0933       0.366       0.924       1.079                                                                          
        97.6        0.82      0.7253      0.0731      0.0831       0.326       0.823       0.910                                                                          
       101.6        0.86      0.7011      0.0591      0.0724       0.284       0.717       0.736                                                                          
       105.7        0.89      0.6513      0.0448      0.0615       0.241       0.609       0.558                                                                          
       109.8        0.93      0.5567      0.0302      0.0503       0.198       0.498       0.376                                                                          
       113.8        0.96      0.3756      0.0153      0.0392       0.154       0.388       0.190                                                                          
       117.9        1.00      0.0018      0.0001      0.0283       0.111       0.280       0.001                                                                          
                                                                                                                                                                          
                                                                                                                                                                          
                                                                                                                                                                          
         PROP RPM =      26000                                                                                                                                            
                                                                                                                                                                          
         V          J           Pe         Ct          Cp          PWR         Torque      Thrust                                                                         
       (mph)     (Adv Ratio)                                       (Hp)        (In-Lbf)     (Lbf)                                                                         
         0.0        0.00      0.0000      0.2804      0.1965       0.868       2.105       3.774                                                                          
         4.2        0.03      0.0533      0.2824      0.1819       0.804       1.949       3.801                                                                          
         8.5        0.07      0.1049      0.2814      0.1845       0.815       1.976       3.787                                                                          
        12.7        0.10      0.1545      0.2797      0.1867       0.825       2.000       3.765                                                                          
        16.9        0.14      0.2024      0.2773      0.1884       0.832       2.018       3.732                                                                          
        21.2        0.17      0.2485      0.2738      0.1894       0.837       2.028       3.685                                                                          
        25.4        0.21      0.2929      0.2691      0.1895       0.837       2.030       3.622                                                                          
        29.6        0.24      0.3354      0.2631      0.1888       0.834       2.022       3.541                                                                          
        33.9        0.28      0.3763      0.2556      0.1868       0.825       2.001       3.440                                                                          
        38.1        0.31      0.4156      0.2466      0.1836       0.811       1.966       3.319                                                                          
        42.3        0.34      0.4534      0.2373      0.1799       0.795       1.927       3.193                                                                          
        46.5        0.38      0.4896      0.2276      0.1758       0.777       1.883       3.064                                                                          
        50.8        0.41      0.5240      0.2177      0.1713       0.757       1.835       2.930                                                                          
        55.0        0.45      0.5562      0.2074      0.1666       0.736       1.785       2.791                                                                          
        59.2        0.48      0.5856      0.1967      0.1617       0.714       1.732       2.648                                                                          
        63.5        0.52      0.6131      0.1858      0.1562       0.690       1.673       2.500                                                                          
        67.7        0.55      0.6386      0.1745      0.1503       0.664       1.609       2.348                                                                          
        71.9        0.58      0.6620      0.1629      0.1438       0.635       1.540       2.192                                                                          
        76.2        0.62      0.6832      0.1510      0.1368       0.604       1.465       2.032                                                                          
        80.4        0.65      0.7018      0.1388      0.1292       0.571       1.384       1.868                                                                          
        84.6        0.69      0.7176      0.1263      0.1210       0.535       1.296       1.701                                                                          
        88.9        0.72      0.7298      0.1136      0.1123       0.496       1.203       1.528                                                                          
        93.1        0.76      0.7367      0.1004      0.1031       0.456       1.104       1.352                                                                          
        97.3        0.79      0.7374      0.0870      0.0933       0.412       1.000       1.172                                                                          
       101.6        0.83      0.7289      0.0733      0.0830       0.367       0.889       0.987                                                                          
       105.8        0.86      0.7049      0.0593      0.0723       0.320       0.775       0.798                                                                          
       110.0        0.89      0.6554      0.0450      0.0613       0.271       0.657       0.605                                                                          
       114.3        0.93      0.5611      0.0303      0.0502       0.222       0.537       0.408                                                                          
       118.5        0.96      0.3796      0.0154      0.0390       0.172       0.418       0.207                                                                          
       122.7        1.00      0.0026      0.0001      0.0281       0.124       0.301       0.001                                                                          
                                                                                                                                                                          
                                                                                                                                                                          
                                                                                                                                                                          
         PROP RPM =      27000                                                                                                                                            
                                                                                                                                                                          
         V          J           Pe         Ct          Cp          PWR         Torque      Thrust                                                                         
       (mph)     (Adv Ratio)                                       (Hp)        (In-Lbf)     (Lbf)                                                                         
         0.0        0.00      0.0000      0.2794      0.2062       1.020       2.381       4.055                                                                          
         4.4        0.03      0.0511      0.2816      0.1897       0.939       2.191       4.088                                                                          
         8.8        0.07      0.1011      0.2809      0.1911       0.945       2.207       4.077                                                                          
        13.2        0.10      0.1500      0.2796      0.1923       0.951       2.221       4.058                                                                          
        17.6        0.14      0.1977      0.2775      0.1931       0.955       2.230       4.027                                                                          
        22.0        0.17      0.2441      0.2743      0.1933       0.956       2.232       3.981                                                                          
        26.4        0.21      0.2888      0.2699      0.1928       0.954       2.227       3.917                                                                          
        30.8        0.24      0.3317      0.2640      0.1916       0.948       2.213       3.831                                                                          
        35.2        0.28      0.3730      0.2565      0.1892       0.936       2.186       3.723                                                                          
        39.6        0.31      0.4128      0.2476      0.1856       0.919       2.144       3.593                                                                          
        44.0        0.34      0.4514      0.2383      0.1815       0.898       2.097       3.458                                                                          
        48.4        0.38      0.4885      0.2286      0.1770       0.876       2.045       3.318                                                                          
        52.8        0.41      0.5238      0.2186      0.1723       0.852       1.990       3.173                                                                          
        57.2        0.45      0.5563      0.2083      0.1674       0.828       1.934       3.023                                                                          
        61.6        0.48      0.5859      0.1976      0.1624       0.804       1.876       2.868                                                                          
        66.0        0.52      0.6136      0.1866      0.1569       0.776       1.812       2.709                                                                          
        70.4        0.55      0.6393      0.1753      0.1509       0.747       1.743       2.544                                                                          
        74.7        0.58      0.6630      0.1637      0.1443       0.714       1.667       2.375                                                                          
        79.1        0.62      0.6844      0.1518      0.1373       0.679       1.586       2.203                                                                          
        83.5        0.65      0.7033      0.1395      0.1296       0.641       1.497       2.025                                                                          
        87.9        0.69      0.7195      0.1270      0.1214       0.601       1.402       1.843                                                                          
        92.3        0.72      0.7320      0.1141      0.1126       0.557       1.301       1.656                                                                          
        96.7        0.76      0.7395      0.1010      0.1033       0.511       1.193       1.465                                                                          
       101.1        0.79      0.7407      0.0876      0.0935       0.463       1.080       1.271                                                                          
       105.5        0.83      0.7326      0.0738      0.0832       0.412       0.961       1.071                                                                          
       109.9        0.86      0.7091      0.0597      0.0725       0.359       0.837       0.867                                                                          
       114.3        0.89      0.6603      0.0453      0.0614       0.304       0.709       0.658                                                                          
       118.7        0.93      0.5670      0.0307      0.0502       0.248       0.580       0.445                                                                          
       123.1        0.96      0.3903      0.0158      0.0390       0.193       0.450       0.229                                                                          
       127.5        1.00      0.0019      0.0001      0.0278       0.138       0.321       0.001                                                                          
                                                                                                                                                                          
                                                                                                                                                                          
                                                                                                                                                                          
         PROP RPM =      28000                                                                                                                                            
                                                                                                                                                                          
         V          J           Pe         Ct          Cp          PWR         Torque      Thrust                                                                         
       (mph)     (Adv Ratio)                                       (Hp)        (In-Lbf)     (Lbf)                                                                         
         0.0        0.00      0.0000      0.2783      0.2163       1.193       2.686       4.344                                                                          
         4.6        0.03      0.0489      0.2809      0.1978       1.091       2.457       4.384                                                                          
         9.1        0.07      0.0975      0.2804      0.1981       1.093       2.460       4.377                                                                          
        13.7        0.10      0.1456      0.2794      0.1983       1.094       2.463       4.361                                                                          
        18.3        0.14      0.1930      0.2776      0.1981       1.093       2.461       4.333                                                                          
        22.8        0.17      0.2395      0.2748      0.1975       1.090       2.454       4.289                                                                          
        27.4        0.21      0.2845      0.2706      0.1965       1.084       2.440       4.223                                                                          
        32.0        0.24      0.3278      0.2648      0.1948       1.075       2.419       4.134                                                                          
        36.5        0.28      0.3695      0.2575      0.1919       1.059       2.384       4.019                                                                          
        41.1        0.31      0.4099      0.2486      0.1879       1.037       2.334       3.880                                                                          
        45.6        0.34      0.4494      0.2393      0.1833       1.012       2.277       3.735                                                                          
        50.2        0.38      0.4876      0.2296      0.1784       0.984       2.216       3.584                                                                          
        54.8        0.41      0.5239      0.2196      0.1732       0.956       2.152       3.428                                                                          
        59.3        0.45      0.5566      0.2092      0.1683       0.929       2.090       3.266                                                                          
        63.9        0.48      0.5863      0.1985      0.1632       0.901       2.027       3.099                                                                          
        68.5        0.52      0.6142      0.1874      0.1576       0.870       1.958       2.926                                                                          
