         5x4E-4                   (5x4E-4.dat)                                 09/10/18                                                                                   
                                                                                                                                                                          
                                                                                                                                                                          
         ====== PERFORMANCE DATA (versus advance ratio and MPH) ======                                                                                                    
                                                                                                                                                                          
         DEFINITIONS:                                                                                                                                                     
         J=V/nD (advance ratio)                                                                                                                                           
         Ct=T/(rho * n**2 * D**4) (thrust coef.)                                                                                                                          
         Cp=P/(rho * n**3 * D**5) (power coef.)                                                                                                                           
         Pe=Ct*J/Cp (efficiency)                                                                                                                                          
         V  (model speed in MPH)                                                                                                                                          
                                                                                                                                                                          
                                                                                                                                                                          
         PROP RPM =       1000                                                                                                                                            
                                                                                                                                                                          
         V          J           Pe         Ct          Cp          PWR         Torque      Thrust                                                                         
        10.7        0.75      0.6689      0.0944      0.1064       0.001       0.015       0.017                                                                          
        11.2        0.79      0.6666      0.0818      0.0967       0.001       0.014       0.015                                                                          
        11.7        0.82      0.6564      0.0689      0.0863       0.001       0.012       0.012                                                                          
        12.2        0.86      0.6328      0.0558      0.0754       0.001       0.011       0.010                                                                          
        12.7        0.89      0.5852      0.0423      0.0643       0.000       0.009       0.008                                                                          
        13.1        0.92      0.4962      0.0285      0.0531       0.000       0.008       0.005                                                                          
        13.6        0.96      0.3290      0.0144      0.0419       0.000       0.006       0.003                                                                          
        14.1        0.99     -0.0027     -0.0001      0.0310       0.000       0.004       0.000                                                                          
                                                                                                                                                                          
                                                                                                                                                                          
                                                                                                                                                                          
         PROP RPM =       4000                                                                                                                                            
                                                                                                                                                                          
         V          J           Pe         Ct          Cp          PWR         Torque      Thrust                                                                         
       (mph)     (Adv Ratio)                                       (Hp)        (In-Lbf)     (Lbf)                                                                         
         0.0        0.00      0.0000      0.2769      0.1773       0.003       0.045       0.088                                                                          
         0.7        0.03      0.0532      0.2749      0.1790       0.003       0.045       0.088                                                                          
         1.3        0.07      0.1046      0.2725      0.1804       0.003       0.046       0.087                                                                          
         2.0        0.10      0.1543      0.2694      0.1813       0.003       0.046       0.086                                                                          
         2.6        0.14      0.2025      0.2657      0.1818       0.003       0.046       0.085                                                                          
         3.3        0.17      0.2490      0.2612      0.1817       0.003       0.046       0.083                                                                          
         3.9        0.21      0.2936      0.2559      0.1810       0.003       0.046       0.082                                                                          
         4.6        0.24      0.3358      0.2495      0.1801       0.003       0.046       0.079                                                                          
         5.2        0.28      0.3755      0.2419      0.1784       0.003       0.045       0.077                                                                          
         5.9        0.31      0.4133      0.2331      0.1758       0.003       0.045       0.074                                                                          
         6.6        0.35      0.4491      0.2240      0.1727       0.003       0.044       0.071                                                                          
         7.2        0.38      0.4827      0.2146      0.1693       0.003       0.043       0.068                                                                          
         7.9        0.42      0.5139      0.2049      0.1657       0.003       0.042       0.065                                                                          
         8.5        0.45      0.5423      0.1949      0.1617       0.003       0.041       0.062                                                                          
         9.2        0.48      0.5678      0.1845      0.1575       0.003       0.040       0.059                                                                          
