         5x7.5E                   (5x75E.dat)                                                                                                                             
         v2020-0506                                                                                                                                                       
         Simulation Date: 05/13/2020                                                                                                                                      
                                                                                                                                                                          
         POLARS WERE GENERATED USING:  TAIR (DEFAULT, BATCH)                                                                                                              
                                                                                                                                                                          
         ====== PERFORMANCE DATA (versus advance ratio and MPH) ======                                                                                                    
                                                                                                                                                                          
         DEFINITIONS:                                                                                                                                                     
         J=V/nD (advance ratio)                                                                                                                                           
         Ct=T/(rho * n**2 * D**4) (thrust coef.)                                                                                                                          
         Cp=P/(rho * n**3 * D**5) (power coef.)                                                                                                                           
         Pe=Ct*J/Cp (efficiency)                                                                                                                                          
         V  (model speed in MPH)                                                                                                                                          
         Mach (at prop tip)                                                                                                                                               
         Reyn (at 75% of span)                                                                                                                                            
                                                                                                                                                                          
                                                                                                                                                                          
         PROP RPM =       1000                                                                                                                                            
                                                                                                                                                                          
         V          J           Pe         Ct          Cp          PWR         Torque      Thrust      PWR         Torque      Thrust      THR/PWR      Mach       Reyn   
        88.7        1.10      0.7649      0.1313      0.1891       0.234       0.866       0.755     174.125       0.098       3.359       1.967        0.36      67906.  
        93.6        1.16      0.7733      0.1204      0.1811       0.224       0.829       0.693     166.776       0.094       3.082       1.884        0.36      68598.  
        98.5        1.22      0.7783      0.1093      0.1719       0.212       0.787       0.629     158.358       0.089       2.798       1.801        0.36      69320.  
       103.5        1.29      0.7795      0.0980      0.1615       0.200       0.740       0.564     148.769       0.084       2.507       1.718        0.36      70072.  
       108.4        1.35      0.7886      0.0868      0.1482       0.183       0.679       0.499     136.478       0.077       2.221       1.659        0.37      70851.  
       113.3        1.41      0.8053      0.0757      0.1324       0.164       0.606       0.436     121.962       0.069       1.939       1.621        0.37      71657.  
       118.2        1.47      0.7977      0.0638      0.1175       0.145       0.538       0.367     108.187       0.061       1.633       1.539        0.37      72490.  
       123.2        1.53      0.7809      0.0516      0.1011       0.125       0.463       0.297      93.122       0.052       1.321       1.446        0.38      73348.  
       128.1        1.59      0.7577      0.0395      0.0829       0.102       0.379       0.227      76.330       0.043       1.010       1.349        0.38      74230.  
       133.0        1.65      0.6836      0.0264      0.0639       0.079       0.293       0.152      58.844       0.033       0.676       1.172        0.38      75136.  
       138.0        1.71      0.5174      0.0131      0.0435       0.054       0.199       0.076      40.094       0.023       0.336       0.856        0.38      76065.  
       142.9        1.78     -0.0011      0.0000      0.0213       0.026       0.098       0.000      19.631       0.011       0.000      -0.002        0.39      77016.  
                                                                                                                                                                          
                                                                                                                                                                          
                                                                                                                                                                          
         PROP RPM =      18000                                                                                                                                            
                                                                                                                                                                          
         V          J           Pe         Ct          Cp          PWR         Torque      Thrust      PWR         Torque      Thrust      THR/PWR      Mach       Reyn   
       (mph)     (Adv_Ratio)     -          -           -          (Hp)        (In-Lbf)     (Lbf)      (W)         (N-m)       (N)         (g/W)         -          -     
         0.0        0.00      0.0000      0.1519      0.0959       0.141       0.492       0.980     104.796       0.056       4.358       4.241        0.36      65131.  
         5.2        0.06      0.0926      0.1520      0.1006       0.147       0.516       0.981     109.947       0.058       4.362       4.046        0.36      65153.  
        10.4        0.12      0.1765      0.1522      0.1056       0.155       0.542       0.982     115.484       0.061       4.368       3.857        0.36      65219.  
        15.7        0.18      0.2522      0.1525      0.1111       0.163       0.570       0.984     121.419       0.064       4.376       3.675        0.36      65329.  
        20.9        0.24      0.3204      0.1529      0.1169       0.171       0.600       0.986     127.761       0.068       4.386       3.501        0.36      65482.  
        26.1        0.31      0.3814      0.1533      0.1230       0.180       0.632       0.989     134.517       0.071       4.399       3.335        0.36      65679.  
        31.3        0.37      0.4361      0.1538      0.1296       0.190       0.665       0.992     141.693       0.075       4.414       3.177        0.36      65918.  
        36.5        0.43      0.4848      0.1545      0.1366       0.200       0.701       0.997     149.293       0.079       4.433       3.028        0.36      66200.  
        41.7        0.49      0.5283      0.1552      0.1439       0.211       0.739       1.001     157.323       0.083       4.454       2.887        0.36      66524.  
        47.0        0.55      0.5671      0.1561      0.1516       0.222       0.778       1.007     165.790       0.088       4.478       2.754        0.36      66889.  
        52.2        0.61      0.6015      0.1570      0.1598       0.234       0.820       1.013     174.735       0.093       4.505       2.629        0.36      67294.  
        57.4        0.67      0.6319      0.1581      0.1685       0.247       0.865       1.020     184.171       0.098       4.535       2.511        0.37      67740.  
        62.6        0.73      0.6589      0.1591      0.1774       0.260       0.910       1.026     193.910       0.103       4.564       2.400        0.37      68224.  
        67.8        0.80      0.6830      0.1596      0.1860       0.273       0.955       1.030     203.359       0.108       4.580       2.296        0.37      68747.  
        73.1        0.86      0.7044      0.1593      0.1938       0.284       0.995       1.028     211.916       0.112       4.571       2.199        0.37      69307.  
        78.3        0.92      0.7236      0.1569      0.1991       0.292       1.022       1.012     217.683       0.115       4.502       2.109        0.37      69904.  
        83.5        0.98      0.7398      0.1510      0.2000       0.293       1.027       0.974     218.661       0.116       4.334       2.021        0.37      70536.  
        88.7        1.04      0.7585      0.1426      0.1957       0.287       1.004       0.920     213.917       0.113       4.092       1.950        0.38      71203.  
        93.9        1.10      0.7766      0.1323      0.1878       0.275       0.964       0.853     205.266       0.109       3.796       1.886        0.38      71903.  
        99.1        1.16      0.7921      0.1218      0.1788       0.262       0.918       0.786     195.515       0.104       3.494       1.822        0.38      72637.  
       104.4        1.22      0.7998      0.1107      0.1695       0.249       0.870       0.714     185.308       0.098       3.177       1.748        0.38      73401.  
       109.6        1.29      0.8044      0.0994      0.1589       0.233       0.816       0.641     173.711       0.092       2.852       1.674        0.39      74197.  
       114.8        1.35      0.8068      0.0878      0.1467       0.215       0.753       0.567     160.343       0.085       2.521       1.603        0.39      75022.  
       120.0        1.41      0.8131      0.0764      0.1324       0.194       0.680       0.493     144.725       0.077       2.193       1.545        0.39      75877.  
       125.2        1.47      0.8157      0.0646      0.1164       0.171       0.597       0.417     127.242       0.068       1.854       1.486        0.39      76759.  
       130.5        1.53      0.8001      0.0523      0.1001       0.147       0.514       0.338     109.447       0.058       1.502       1.399        0.40      77667.  
       135.7        1.59      0.7688      0.0398      0.0823       0.121       0.423       0.256      89.986       0.048       1.141       1.292        0.40      78602.  
       140.9        1.65      0.7093      0.0271      0.0631       0.092       0.324       0.175      68.973       0.037       0.777       1.148        0.40      79562.  
       146.1        1.71      0.5452      0.0136      0.0429       0.063       0.220       0.088      46.912       0.025       0.392       0.851        0.41      80546.  
       151.3        1.78      0.0038      0.0000      0.0213       0.031       0.109       0.000      23.303       0.012       0.001       0.006        0.41      81553.  
                                                                                                                                                                          
                                                                                                                                                                          
                                                                                                                                                                          
         PROP RPM =      19000                                                                                                                                            
                                                                                                                                                                          
         V          J           Pe         Ct          Cp          PWR         Torque      Thrust      PWR         Torque      Thrust      THR/PWR      Mach       Reyn   
       (mph)     (Adv_Ratio)     -          -           -          (Hp)        (In-Lbf)     (Lbf)      (W)         (N-m)       (N)         (g/W)         -          -     
         0.0        0.00      0.0000      0.1514      0.0942       0.162       0.539       1.088     121.139       0.061       4.839       4.074        0.38      68750.  
         5.5        0.06      0.0938      0.1515      0.0990       0.171       0.566       1.089     127.271       0.064       4.844       3.881        0.38      68773.  
        11.0        0.12      0.1785      0.1517      0.1041       0.180       0.595       1.090     133.860       0.067       4.851       3.695        0.38      68842.  
        16.5        0.18      0.2548      0.1520      0.1096       0.189       0.627       1.092     140.921       0.071       4.859       3.516        0.38      68958.  
        22.0        0.24      0.3232      0.1523      0.1155       0.199       0.660       1.095     148.463       0.075       4.870       3.345        0.38      69120.  
        27.5        0.31      0.3844      0.1528      0.1217       0.210       0.696       1.098     156.495       0.079       4.884       3.182        0.38      69328.  
        33.1        0.37      0.4389      0.1533      0.1283       0.221       0.734       1.102     165.023       0.083       4.901       3.028        0.38      69581.  
        38.6        0.43      0.4875      0.1539      0.1354       0.233       0.774       1.106     174.054       0.087       4.921       2.883        0.38      69878.  
        44.1        0.49      0.5306      0.1546      0.1428       0.246       0.817       1.111     183.591       0.092       4.944       2.746        0.38      70220.  
        49.6        0.55      0.5690      0.1555      0.1506       0.260       0.861       1.117     193.642       0.097       4.970       2.617        0.38      70606.  
        55.1        0.61      0.6029      0.1564      0.1588       0.274       0.909       1.124     204.243       0.103       4.999       2.496        0.38      71034.  
        60.6        0.67      0.6394      0.1576      0.1661       0.286       0.950       1.133     213.576       0.107       5.040       2.406        0.39      71505.  
        66.1        0.73      0.6665      0.1587      0.1750       0.302       1.001       1.141     225.059       0.113       5.075       2.299        0.39      72017.  
        71.6        0.80      0.6909      0.1594      0.1837       0.317       1.051       1.146     236.243       0.119       5.097       2.200        0.39      72569.  
        77.1        0.86      0.7125      0.1594      0.1918       0.331       1.097       1.145     246.577       0.124       5.095       2.107        0.39      73160.  
        82.6        0.92      0.7356      0.1576      0.1968       0.339       1.126       1.132     253.024       0.127       5.037       2.030        0.39      73791.  
        88.2        0.98      0.7529      0.1521      0.1980       0.341       1.132       1.093     254.570       0.128       4.863       1.948        0.39      74459.  
        93.7        1.04      0.7730      0.1438      0.1937       0.334       1.108       1.034     249.105       0.125       4.598       1.882        0.40      75163.  
        99.2        1.10      0.7873      0.1333      0.1867       0.322       1.068       0.958     240.067       0.121       4.263       1.811        0.40      75903.  
       104.7        1.16      0.7987      0.1225      0.1785       0.308       1.021       0.880     229.471       0.115       3.916       1.740        0.40      76677.  
       110.2        1.22      0.8124      0.1117      0.1685       0.290       0.964       0.803     216.611       0.109       3.572       1.682        0.40      77485.  
       115.7        1.29      0.8191      0.1004      0.1577       0.272       0.902       0.722     202.781       0.102       3.211       1.615        0.41      78326.  
       121.2        1.35      0.8230      0.0889      0.1455       0.251       0.832       0.639     187.039       0.094       2.841       1.549        0.41      79197.  
       126.7        1.41      0.8224      0.0770      0.1319       0.227       0.754       0.553     169.555       0.085       2.461       1.480        0.41      80100.  
       132.2        1.47      0.8255      0.0654      0.1164       0.201       0.666       0.470     149.698       0.075       2.090       1.424        0.42      81031.  
       137.7        1.53      0.8115      0.0530      0.1000       0.172       0.572       0.381     128.612       0.065       1.695       1.344        0.42      81991.  
       143.3        1.59      0.7818      0.0404      0.0822       0.142       0.470       0.290     105.677       0.053       1.290       1.245        0.42      82978.  
       148.8        1.65      0.7105      0.0272      0.0632       0.109       0.361       0.195      81.254       0.041       0.868       1.089        0.43      83992.  
       154.3        1.71      0.5453      0.0136      0.0429       0.074       0.246       0.098      55.191       0.028       0.436       0.806        0.43      85031.  
       159.8        1.78     -0.0010      0.0000      0.0211       0.036       0.120       0.000      27.082       0.014       0.000      -0.001        0.43      86095.  
                                                                                                                                                                          
                                                                                                                                                                          
                                                                                                                                                                          
         PROP RPM =      20000                                                                                                                                            
                                                                                                                                                                          
         V          J           Pe         Ct          Cp          PWR         Torque      Thrust      PWR         Torque      Thrust      THR/PWR      Mach       Reyn   
       (mph)     (Adv_Ratio)     -          -           -          (Hp)        (In-Lbf)     (Lbf)      (W)         (N-m)       (N)         (g/W)         -          -     
         0.0        0.00      0.0000      0.1509      0.0924       0.186       0.585       1.202     138.549       0.066       5.344       3.933        0.40      72368.  
         5.8        0.06      0.0952      0.1510      0.0971       0.195       0.616       1.203     145.656       0.070       5.350       3.745        0.40      72392.  
        11.6        0.12      0.1812      0.1512      0.1022       0.206       0.648       1.204     153.295       0.073       5.357       3.564        0.40      72466.  
        17.4        0.18      0.2585      0.1515      0.1077       0.217       0.682       1.207     161.480       0.077       5.367       3.389        0.40      72588.  
        23.2        0.24      0.3278      0.1519      0.1135       0.228       0.719       1.209     170.225       0.081       5.380       3.223        0.40      72758.  
        29.0        0.31      0.3896      0.1523      0.1197       0.241       0.759       1.213     179.536       0.086       5.395       3.064        0.40      72977.  
        34.8        0.37      0.4447      0.1528      0.1263       0.254       0.800       1.217     189.419       0.090       5.414       2.915        0.40      73243.  
        40.6        0.43      0.4936      0.1535      0.1333       0.268       0.845       1.222     199.881       0.095       5.436       2.773        0.40      73556.  
        46.4        0.49      0.5372      0.1542      0.1406       0.283       0.891       1.228     210.925       0.101       5.462       2.641        0.40      73916.  
        52.2        0.55      0.5787      0.1551      0.1477       0.297       0.936       1.235     221.540       0.106       5.494       2.529        0.40      74322.  
        58.0        0.61      0.6133      0.1560      0.1558       0.313       0.988       1.243     233.687       0.112       5.527       2.412        0.40      74773.  
        63.8        0.67      0.6460      0.1572      0.1639       0.330       1.039       1.252     245.841       0.117       5.568       2.309        0.41      75268.  
        69.6        0.73      0.6734      0.1583      0.1728       0.348       1.095       1.261     259.148       0.124       5.609       2.207        0.41      75807.  
        75.4        0.80      0.6980      0.1592      0.1816       0.365       1.151       1.268     272.311       0.130       5.639       2.112        0.41      76388.  
        81.2        0.86      0.7199      0.1594      0.1898       0.382       1.203       1.269     284.666       0.136       5.645       2.022        0.41      77011.  
        87.0        0.92      0.7396      0.1578      0.1960       0.394       1.242       1.257     293.911       0.140       5.589       1.939        0.41      77675.  
        92.8        0.98      0.7573      0.1528      0.1977       0.398       1.253       1.217     296.464       0.142       5.411       1.861        0.42      78378.  
        98.6        1.04      0.7732      0.1445      0.1946       0.391       1.233       1.151     291.769       0.139       5.118       1.789        0.42      79119.  
       104.4        1.10      0.7910      0.1343      0.1872       0.376       1.186       1.070     280.707       0.134       4.757       1.728        0.42      79898.  
       110.2        1.16      0.8031      0.1234      0.1789       0.360       1.134       0.983     268.236       0.128       4.373       1.662        0.42      80713.  
       116.0        1.22      0.8126      0.1123      0.1693       0.341       1.073       0.895     253.951       0.121       3.979       1.598        0.43      81564.  
       121.8        1.29      0.8191      0.1010      0.1585       0.319       1.005       0.804     237.752       0.114       3.576       1.534        0.43      82449.  
       127.6        1.35      0.8305      0.0899      0.1458       0.293       0.924       0.716     218.636       0.104       3.183       1.485        0.43      83366.  
       133.4        1.41      0.8384      0.0781      0.1312       0.264       0.832       0.622     196.780       0.094       2.766       1.434        0.43      84316.  
       139.2        1.47      0.8335      0.0659      0.1162       0.234       0.737       0.525     174.298       0.083       2.334       1.366        0.44      85297.  
       145.0        1.53      0.8201      0.0535      0.0998       0.201       0.633       0.426     149.716       0.071       1.894       1.290        0.44      86307.  
       150.8        1.59      0.7913      0.0407      0.0820       0.165       0.519       0.324     122.902       0.059       1.442       1.197        0.44      87346.  
       156.6        1.65      0.7202      0.0274      0.0630       0.127       0.399       0.219      94.518       0.045       0.972       1.049        0.45      88414.  
       162.4        1.71      0.5552      0.0138      0.0428       0.086       0.271       0.110      64.141       0.031       0.490       0.780        0.45      89508.  
       168.2        1.78      0.0010      0.0000      0.0211       0.042       0.134       0.000      31.655       0.015       0.000       0.001        0.46      90627.  
                                                                                                                                                                          
                                                                                                                                                                          
                                                                                                                                                                          
         PROP RPM =      21000                                                                                                                                            
                                                                                                                                                                          
         V          J           Pe         Ct          Cp          PWR         Torque      Thrust      PWR         Torque      Thrust      THR/PWR      Mach       Reyn   
       (mph)     (Adv_Ratio)     -          -           -          (Hp)        (In-Lbf)     (Lbf)      (W)         (N-m)       (N)         (g/W)         -          -     
         0.0        0.00      0.0000      0.1503      0.0908       0.211       0.634       1.320     157.621       0.072       5.871       3.798        0.42      75986.  
         6.1        0.06      0.0965      0.1505      0.0955       0.222       0.667       1.321     165.840       0.075       5.878       3.614        0.42      76012.  
        12.2        0.12      0.1836      0.1507      0.1006       0.234       0.703       1.323     174.676       0.079       5.886       3.436        0.42      76089.  
        18.3        0.18      0.2613      0.1510      0.1062       0.247       0.742       1.326     184.355       0.084       5.896       3.261        0.42      76217.  
        24.4        0.25      0.3313      0.1513      0.1120       0.261       0.782       1.329     194.378       0.088       5.910       3.101        0.42      76396.  
        30.5        0.31      0.3937      0.1518      0.1181       0.275       0.825       1.333     205.051       0.093       5.928       2.948        0.42      76626.  
        36.6        0.37      0.4493      0.1523      0.1246       0.290       0.871       1.337     216.379       0.098       5.949       2.803        0.42      76906.  
        42.6        0.43      0.4988      0.1530      0.1315       0.306       0.919       1.343     228.365       0.104       5.974       2.667        0.42      77235.  
        48.7        0.49      0.5427      0.1537      0.1388       0.323       0.970       1.349     241.015       0.110       6.002       2.539        0.42      77614.  
        54.8        0.55      0.5817      0.1545      0.1465       0.341       1.024       1.357     254.335       0.116       6.035       2.420        0.42      78040.  
        60.9        0.61      0.6160      0.1554      0.1546       0.360       1.080       1.365     268.443       0.122       6.071       2.306        0.42      78514.  
        67.0        0.67      0.6465      0.1565      0.1631       0.380       1.140       1.374     283.216       0.129       6.111       2.200        0.43      79035.  
        73.1        0.74      0.6742      0.1576      0.1719       0.400       1.201       1.384     298.439       0.136       6.156       2.103        0.43      79601.  
        79.2        0.80      0.6985      0.1586      0.1809       0.421       1.264       1.393     314.015       0.143       6.194       2.011        0.43      80212.  
        85.3        0.86      0.7201      0.1590      0.1894       0.441       1.323       1.396     328.804       0.150       6.209       1.926        0.43      80866.  
        91.4        0.92      0.7423      0.1580      0.1957       0.456       1.367       1.388     339.711       0.154       6.172       1.853        0.43      81563.  
        97.5        0.98      0.7603      0.1535      0.1979       0.461       1.383       1.347     343.574       0.156       5.993       1.779        0.44      82302.  
       103.6        1.04      0.7805      0.1455      0.1941       0.452       1.356       1.277     337.036       0.153       5.681       1.719        0.44      83081.  
       109.7        1.10      0.7958      0.1351      0.1872       0.436       1.308       1.186     325.059       0.148       5.276       1.655        0.44      83900.  
       115.8        1.16      0.8086      0.1242      0.1788       0.416       1.249       1.090     310.430       0.141       4.850       1.593        0.44      84757.  
       121.9        1.23      0.8242      0.1135      0.1688       0.393       1.179       0.997     293.024       0.133       4.433       1.543        0.45      85650.  
       127.9        1.29      0.8326      0.1021      0.1579       0.368       1.103       0.897     274.086       0.125       3.989       1.484        0.45      86580.  
       134.0        1.35      0.8378      0.0905      0.1456       0.339       1.017       0.794     252.694       0.115       3.533       1.426        0.45      87544.  
       140.1        1.41      0.8385      0.0784      0.1318       0.307       0.921       0.689     228.892       0.104       3.064       1.365        0.46      88542.  
       146.2        1.47      0.8337      0.0662      0.1168       0.272       0.816       0.581     202.710       0.092       2.585       1.300        0.46      89573.  
       152.3        1.53      0.8203      0.0537      0.1002       0.233       0.700       0.471     173.962       0.079       2.096       1.228        0.46      90635.  
       158.4        1.59      0.7916      0.0408      0.0822       0.191       0.574       0.359     142.710       0.065       1.595       1.140        0.47      91727.  
       164.5        1.65      0.7208      0.0275      0.0631       0.147       0.441       0.241     109.583       0.050       1.074       0.999        0.47      92848.  
       170.6        1.72      0.5575      0.0139      0.0428       0.100       0.299       0.122      74.336       0.034       0.543       0.745        0.47      93998.  
       176.7        1.78     -0.0013      0.0000      0.0209       0.049       0.146       0.000      36.262       0.016      -0.001      -0.002        0.48      95174.  
                                                                                                                                                                          
                                                                                                                                                                          
                                                                                                                                                                          
         PROP RPM =      22000                                                                                                                                            
                                                                                                                                                                          
         V          J           Pe         Ct          Cp          PWR         Torque      Thrust      PWR         Torque      Thrust      THR/PWR      Mach       Reyn   
       (mph)     (Adv_Ratio)     -          -           -          (Hp)        (In-Lbf)     (Lbf)      (W)         (N-m)       (N)         (g/W)         -          -     
         0.0        0.00      0.0000      0.1497      0.0902       0.241       0.692       1.443     180.007       0.078       6.417       3.635        0.44      79605.  
         6.4        0.06      0.0968      0.1499      0.0949       0.254       0.728       1.444     189.408       0.082       6.424       3.458        0.44      79632.  
        12.8        0.12      0.1840      0.1501      0.1000       0.268       0.767       1.446     199.541       0.087       6.433       3.287        0.44      79712.  
        19.1        0.18      0.2623      0.1504      0.1054       0.282       0.808       1.449     210.381       0.091       6.445       3.124        0.44      79847.  
        25.5        0.25      0.3334      0.1508      0.1108       0.297       0.850       1.453     221.226       0.096       6.462       2.979        0.44      80034.  
        31.9        0.31      0.3959      0.1512      0.1170       0.313       0.897       1.457     233.554       0.101       6.481       2.830        0.44      80275.  
        38.3        0.37      0.4515      0.1517      0.1236       0.331       0.948       1.462     246.635       0.107       6.503       2.689        0.44      80568.  
        44.7        0.43      0.5008      0.1524      0.1305       0.349       1.001       1.468     260.474       0.113       6.530       2.556        0.44      80913.  
        51.1        0.49      0.5468      0.1531      0.1373       0.367       1.053       1.476     274.016       0.119       6.563       2.443        0.44      81310.  
        57.4        0.55      0.5859      0.1540      0.1449       0.388       1.111       1.484     289.257       0.126       6.599       2.326        0.44      81756.  
        63.8        0.61      0.6206      0.1549      0.1529       0.409       1.173       1.492     305.266       0.132       6.639       2.218        0.44      82253.  
        70.2        0.67      0.6514      0.1559      0.1613       0.432       1.237       1.502     322.037       0.140       6.683       2.116        0.45      82798.  
        76.6        0.74      0.6800      0.1571      0.1699       0.455       1.303       1.514     339.165       0.147       6.734       2.025        0.45      83392.  
        83.0        0.80      0.7043      0.1582      0.1790       0.479       1.372       1.525     357.255       0.155       6.783       1.936        0.45      84032.  
        89.4        0.86      0.7261      0.1588      0.1877       0.502       1.439       1.531     374.595       0.163       6.808       1.853        0.45      84717.  
        95.7        0.92      0.7457      0.1582      0.1949       0.522       1.495       1.524     389.127       0.169       6.779       1.776        0.45      85448.  
       102.1        0.98      0.7637      0.1541      0.1978       0.530       1.517       1.485     394.906       0.171       6.605       1.706        0.46      86222.  
       108.5        1.04      0.7805      0.1462      0.1952       0.522       1.496       1.409     389.536       0.169       6.267       1.641        0.46      87038.  
       114.9        1.10      0.7994      0.1363      0.1880       0.503       1.442       1.313     375.322       0.163       5.841       1.587        0.46      87896.  
       121.3        1.16      0.8130      0.1254      0.1795       0.481       1.377       1.208     358.365       0.156       5.373       1.529        0.47      88794.  
       127.7        1.23      0.8240      0.1142      0.1698       0.455       1.302       1.100     338.992       0.147       4.894       1.472        0.47      89730.  
       134.0        1.29      0.8324      0.1027      0.1588       0.425       1.218       0.990     317.015       0.138       4.403       1.416        0.47      90704.  
       140.4        1.35      0.8378      0.0910      0.1465       0.392       1.123       0.877     292.328       0.127       3.901       1.361        0.47      91714.  
       146.8        1.41      0.8387      0.0789      0.1327       0.355       1.017       0.761     264.798       0.115       3.383       1.303        0.48      92760.  
       153.2        1.47      0.8391      0.0667      0.1169       0.313       0.897       0.643     233.403       0.101       2.859       1.249        0.48      93840.  
       159.6        1.53      0.8262      0.0541      0.1004       0.269       0.770       0.522     200.350       0.087       2.320       1.181        0.49      94952.  
       166.0        1.59      0.7982      0.0412      0.0823       0.220       0.631       0.397     164.234       0.071       1.767       1.097        0.49      96096.  
       172.3        1.65      0.7283      0.0278      0.0631       0.169       0.484       0.268     126.016       0.055       1.191       0.964        0.49      97271.  
       178.7        1.72      0.5635      0.0141      0.0428       0.115       0.328       0.135      85.467       0.037       0.603       0.719        0.50      98476.  
       185.1        1.78      0.0068      0.0001      0.0209       0.056       0.161       0.001      41.812       0.018       0.003       0.008        0.50      99708.  
                                                                                                                                                                          
                                                                                                                                                                          
                                                                                                                                                                          
         PROP RPM =      23000                                                                                                                                            
                                                                                                                                                                          
         V          J           Pe         Ct          Cp          PWR         Torque      Thrust      PWR         Torque      Thrust      THR/PWR      Mach       Reyn   
       (mph)     (Adv_Ratio)     -          -           -          (Hp)        (In-Lbf)     (Lbf)      (W)         (N-m)       (N)         (g/W)         -          -     
         0.0        0.00      0.0000      0.1492      0.0888       0.271       0.744       1.571     202.453       0.084       6.989       3.520        0.46      83223.  
         6.7        0.06      0.0980      0.1493      0.0934       0.286       0.783       1.573     213.109       0.088       6.996       3.348        0.46      83251.  
        13.4        0.12      0.1862      0.1496      0.0985       0.301       0.825       1.575     224.578       0.093       7.007       3.181        0.46      83336.  
        20.0        0.18      0.2653      0.1498      0.1039       0.318       0.870       1.578     236.873       0.098       7.020       3.022        0.46      83476.  
        26.7        0.25      0.3360      0.1502      0.1096       0.335       0.919       1.582     250.003       0.104       7.037       2.870        0.46      83673.  
        33.4        0.31      0.3989      0.1506      0.1157       0.354       0.970       1.587     263.980       0.110       7.057       2.726        0.46      83924.  
        40.1        0.37      0.4548      0.1512      0.1222       0.374       1.025       1.592     278.804       0.116       7.082       2.590        0.46      84231.  
        46.7        0.43      0.5044      0.1518      0.1291       0.395       1.082       1.599     294.483       0.122       7.111       2.462        0.46      84592.  
        53.4        0.49      0.5480      0.1525      0.1364       0.417       1.144       1.606     311.198       0.129       7.143       2.341        0.46      85006.  
        60.1        0.55      0.5874      0.1533      0.1440       0.440       1.207       1.615     328.424       0.136       7.182       2.230        0.46      85474.  
        66.8        0.61      0.6224      0.1543      0.1519       0.465       1.273       1.625     346.504       0.144       7.226       2.127        0.46      85993.  
        73.4        0.67      0.6533      0.1553      0.1603       0.490       1.343       1.635     365.510       0.152       7.275       2.029        0.47      86564.  
        80.1        0.74      0.6808      0.1564      0.1690       0.517       1.416       1.647     385.424       0.160       7.327       1.939        0.47      87184.  
        86.8        0.80      0.7049      0.1576      0.1781       0.545       1.493       1.660     406.314       0.169       7.383       1.853        0.47      87854.  
        93.5        0.86      0.7264      0.1583      0.1870       0.572       1.568       1.668     426.614       0.177       7.417       1.773        0.47      88571.  
       100.1        0.92      0.7456      0.1580      0.1949       0.596       1.633       1.664     444.469       0.185       7.403       1.699        0.48      89335.  
       106.8        0.98      0.7663      0.1549      0.1983       0.606       1.662       1.631     452.170       0.188       7.257       1.637        0.48      90145.  
       113.5        1.04      0.7833      0.1472      0.1959       0.599       1.642       1.551     446.723       0.185       6.897       1.574        0.48      90999.  
       120.2        1.10      0.8022      0.1371      0.1886       0.577       1.581       1.444     430.153       0.179       6.424       1.523        0.48      91896.  
       126.8        1.16      0.8163      0.1262      0.1800       0.551       1.509       1.329     410.568       0.170       5.911       1.468        0.49      92835.  
       133.5        1.23      0.8279      0.1149      0.1702       0.521       1.427       1.211     388.220       0.161       5.385       1.414        0.49      93814.  
       140.2        1.29      0.8369      0.1035      0.1591       0.487       1.334       1.090     362.947       0.151       4.847       1.362        0.49      94833.  
       146.9        1.35      0.8425      0.0917      0.1467       0.449       1.230       0.965     334.613       0.139       4.294       1.309        0.50      95890.  
       153.5        1.41      0.8437      0.0795      0.1329       0.406       1.114       0.838     303.073       0.126       3.725       1.253        0.50      96983.  
       160.2        1.47      0.8394      0.0671      0.1177       0.360       0.986       0.707     268.368       0.111       3.145       1.195        0.50      98113.  
       166.9        1.53      0.8267      0.0545      0.1010       0.309       0.846       0.574     230.358       0.096       2.553       1.130        0.51      99276.  
       173.6        1.59      0.7990      0.0415      0.0827       0.253       0.693       0.437     188.705       0.078       1.943       1.050        0.51     100473.  
       180.2        1.66      0.7300      0.0280      0.0635       0.194       0.533       0.295     144.919       0.060       1.313       0.924        0.52     101702.  
       186.9        1.72      0.5647      0.0142      0.0431       0.132       0.361       0.149      98.208       0.041       0.664       0.689        0.52     102962.  
       193.6        1.78     -0.0012      0.0000      0.0211       0.064       0.176       0.000      48.026       0.020      -0.001      -0.001        0.52     104251.  
                                                                                                                                                                          
                                                                                                                                                                          
                                                                                                                                                                          
         PROP RPM =      24000                                                                                                                                            
                                                                                                                                                                          
         V          J           Pe         Ct          Cp          PWR         Torque      Thrust      PWR         Torque      Thrust      THR/PWR      Mach       Reyn   
       (mph)     (Adv_Ratio)     -          -           -          (Hp)        (In-Lbf)     (Lbf)      (W)         (N-m)       (N)         (g/W)         -          -     
         0.0        0.00      0.0000      0.1486      0.0883       0.307       0.806       1.704     228.752       0.091       7.578       3.378        0.48      86842.  
         7.0        0.06      0.0982      0.1487      0.0929       0.323       0.848       1.706     240.790       0.096       7.587       3.213        0.48      86871.  
        13.9        0.12      0.1854      0.1489      0.0985       0.342       0.899       1.707     255.141       0.102       7.593       3.035        0.48      86959.  
        20.9        0.18      0.2644      0.1491      0.1038       0.361       0.947       1.710     268.901       0.107       7.607       2.885        0.48      87106.  
        27.9        0.25      0.3351      0.1495      0.1094       0.380       0.999       1.714     283.613       0.113       7.626       2.742        0.48      87311.  
        34.8        0.31      0.3981      0.1499      0.1155       0.401       1.054       1.720     299.259       0.119       7.648       2.606        0.48      87574.  
